"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longtitude","latitude","soil_quality","waterquality","wildlife","recreation","scenic","tourism","business","rural"
"28",120,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-15T21:39:09.990Z",143,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.804581,43.672093,NA,NA,NA,NA,NA,NA,NA,NA
"29",120,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-15T21:39:31.357Z",144,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.728706,43.67408,NA,NA,NA,NA,NA,NA,NA,NA
"30",120,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-15T21:40:26.654Z",146,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.788445,43.623402,2,2,3,1,1,1,1,2
"31",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:52:21.299Z",166,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",12,"POINT",-71.814194,43.698907,3,3,2,2,2,2,1,2
"32",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:48:32.875Z",161,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.884575,43.615448,3,3,3,3,3,3,1,3
"33",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:41:38.214Z",149,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.720295,43.66514,3,3,3,1,1,2,0,3
"34",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:53:46.099Z",167,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",12,"POINT",-71.790504,43.593571,3,3,1,1,1,1,1,1
"35",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:40:19.135Z",145,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.773338,43.643777,2,3,2,2,2,1,0,2
"36",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:43:31.594Z",153,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.905861,43.629242,2,2,3,3,3,3,2,3
"37",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:47:25.462Z",159,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.712227,43.643281,3,3,3,3,3,3,1,3
"38",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:46:45.787Z",157,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.737976,43.689474,3,3,3,3,3,3,1,3
"39",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:50:33.544Z",164,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",13,"POINT",-71.841831,43.645765,3,3,3,3,3,3,1,2
"40",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:45:41.613Z",156,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.776772,43.700644,2,3,2,3,3,2,1,1
"41",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:44:57.181Z",155,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.81076,43.758945,2,2,3,2,2,3,1,3
"42",126,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-15T21:49:06.161Z",162,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.826553,43.728834,2,2,1,0,0,3,0,2
"43",126,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-15T21:47:01.569Z",158,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.798401,43.672044,2,0,2,0,0,2,0,2
"44",126,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-15T21:47:58.651Z",160,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.736877,43.666282,1,1,0,0,0,0,0,0
"45",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T21:54:12.993Z",168,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.897278,43.694687,3,3,3,2,2,2,1,3
"46",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T21:55:55.799Z",170,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.844406,43.693197,3,3,3,2,2,1,1,3
"47",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T21:58:59.980Z",175,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",14,"POINT",-71.898909,43.704615,3,3,3,2,2,1,1,3
"48",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T21:55:17.094Z",169,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.872215,43.686246,3,3,3,2,2,1,1,3
"49",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T21:58:09.573Z",173,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",14,"POINT",-71.881828,43.696052,3,3,3,2,2,1,1,3
"50",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:00:02.882Z",178,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",12,"POINT",-71.866722,43.696921,3,3,3,2,2,1,1,3
"51",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:01:05.281Z",179,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",12,"POINT",-71.903458,43.721738,3,3,3,2,2,1,1,3
"52",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:05:53.655Z",196,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"53",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:05:20.757Z",192,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.799431,43.687984,0,2,0,1,1,0,0,1
"54",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:06:38.851Z",199,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.881828,43.688481,3,3,3,2,2,3,0,3
"55",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:04:28.650Z",189,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779518,43.701389,0,3,0,2,2,0,0,2
"56",136,NA,NA,NA,NA,NA,"2016-03-15T21:58:30.180Z",174,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.795311,43.636448,NA,NA,NA,NA,NA,NA,NA,NA
"57",136,NA,NA,NA,NA,NA,"2016-03-15T21:59:41.053Z",176,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.778831,43.635205,NA,NA,NA,NA,NA,NA,NA,NA
"58",136,NA,NA,NA,NA,NA,"2016-03-15T22:01:23.481Z",181,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",15,"POINT",-71.71948,43.657751,NA,NA,NA,NA,NA,NA,NA,NA
"59",141,NA,NA,NA,NA,NA,"2016-03-15T22:02:45.982Z",183,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.713257,43.659179,NA,NA,NA,NA,NA,NA,NA,NA
"60",143,NA,NA,NA,NA,NA,"2016-03-15T22:06:17.823Z",198,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.802521,43.619176,3,3,3,3,3,3,3,3
"61",143,NA,NA,NA,NA,NA,"2016-03-15T22:03:22.964Z",186,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"62",143,NA,NA,NA,NA,NA,"2016-03-15T22:03:48.931Z",187,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.831017,43.688481,3,3,3,3,3,3,3,3
"63",143,NA,NA,NA,NA,NA,"2016-03-15T22:04:29.124Z",190,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.812477,43.652472,3,3,3,3,3,3,3,3
"64",143,NA,NA,NA,NA,NA,"2016-03-15T22:05:24.630Z",193,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.808357,43.636572,NA,NA,NA,NA,NA,NA,NA,NA
"65",143,NA,NA,NA,NA,NA,"2016-03-15T22:05:33.574Z",194,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"66",143,NA,NA,NA,NA,NA,"2016-03-15T22:06:03.455Z",197,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.785011,43.669982,NA,NA,NA,NA,NA,NA,NA,NA
"67",145,NA,NA,NA,NA,NA,"2016-03-15T22:08:48.829Z",204,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",18,"POINT",-71.805686,43.699372,NA,NA,NA,NA,NA,NA,NA,NA
"68",146,NA,NA,NA,NA,NA,"2016-03-15T22:14:23.021Z",205,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779261,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"69",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:29:35.197Z",211,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.808357,43.658434,3,3,3,3,3,3,1,3
"70",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:22:41.926Z",209,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.785698,43.734143,3,3,3,3,3,3,3,3
"71",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:19:53.112Z",207,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.872559,43.701389,3,3,3,2,2,3,3,3
"72",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:31:55.937Z",212,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.790161,43.689101,NA,3,3,3,3,3,3,3
"73",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:26:44.414Z",210,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.790848,43.650982,0,3,3,3,3,3,1,1
